43295	324
288108	4763
9014	207
20187	105
23492	416
16992	112
17677	128
585	0
3521	58
270849	1226
9319	36
161073	2628
338475	2611
17828	145
52737	218
267824	2369
41683	503
80563	382
31585	88
927915	12116
336286	2729
187722	1734
352619	4005
61735	515
59553	165
382372	2265
7954	61
27846	478
18475	127
16074	113
15301	39
478376	1805
55012	94
7618	89
66324	134
120990	1077
255643	1457
338317	1356
134768	1057
5309	41
11062	54
26325	142
1041	0
2488	16
16499	57
111696	2848
5057	13
405986	3109
13979	59
13824	30
96726	753
304	0
751	3
30343	70
44910	128
3167	17
10676	52
125854	552
1534	2
108493	748
36919	474
56790	433
192931	1758
71668	670
11337	89
2656	9
10884	49
69785	141
10868	21
41499	213
8034	25
5976	25
6364	71
115275	1711
5307	42
6901	159
298	0
11435	101
21265	28
133642	2021
725	7
20712	172
15034	30
65482	193
12186	110
9250	172
17539	65
6033	23
16955	28
204014	1868
7415	26
38954	206
327349	1060
8661	25
21634	371
288054	986
6390	60
1672	2
2011	13
76752	186
26573	188
7530	49
16931	85
11848	21
12797	52
85345	50
3355	29
678	0
56662	1196
6946	56
65160	1330
12424	40
24886	42
21135	47
45738	84
47554	89
210110	2931
31244	136
91812	578
20874	105
4691	7
168648	1151
1615	3
34503	136
4218	15
2003	15
972	1
6921	42
2454	2
47652	128
5027	18
20205	39
13949	85
17782	95
11043	455
109686	463
11474	112
54677	236
2162	28
8007	14
4081	38
1928	12
19135	90
6389	22
29878	60
6127	39
11853	378
7344	34
3698	36
13899	48
8073	29
1285	7
26759	32
64395	284
3313	7
8578	36
23991	150
8881	82
5704	10
62358	220
15292	235
1984	5
36123	880
90725	670
8480	18
4120	25
18300	27
1154	0
88455	363
12882	32
10959	61
42761	232
1304	9
8187	28
29066	66
54713	67
7062	9
7587	21
11414	28
19726	65
429	0
11873	68
24178	137
39793	312
16597	10
3178	47
45816	177
45649	126
5182	3
30922	578
216007	1765
14741	130
52589	368
6119	71
810381	6445
37854	259
15608	31
7557	40
167570	228
13879	103
70813	47
1221	12
23932	127
22334	291
75	0
40823	447
60	0
1443	7
101	1
4516	33
3769	6
7575	23
7178	43
3244	14
25451	91
90341	291
4580	5
2960	0
15566	84
64053	424
18235	26
24898	161
11142	97
40134	443
24446	209
340	0
40816	446
30218	273
166009	2677
15844	288
10327	23
56980	346
38476	276
30885	96
5520	103
2807	5
7206	74
11078	62
20272	88
6579	40
168966	1601
186791	1852
46833	562
19597	72
26937	92
38075	160
103067	336
166001	1278
16558	74
247523	2803
387136	2442
33238	227
8440	40
50185	240
46099	426
45869	142
1147	0
6126	14
134375	600
1485353	14097
58395	759
211	0
8286	49
43552	288
14396	46
16585	72
28857	213
223938	1616
65248	107
73247	130
4949	16
30375	94
52687	238
6884	26
100522	309
4658	9
9082	94
366221	1959
16909	39
9329	86
10511	70
4556	16
832133	5098
2676	0
9182	21
7600	27
6250	8
115638	77
75823	2282
109606	547
45559	337
182578	370
261701	690
67	0
49	0
381	7
110	1
29	0
170	2
68	0
65	0
33	0
33	0
250	1
227	0
171	4
890	6
39	0
32550	67
21948	86
41994	187
14796	55
5301	6
173283	347
1788	0
6440	12
2061	3
26774	167
34498	33
84402	317
1599	3
45540	136
21752	82
10564	96
18670	70
21638	138
879	0
5058	20
3415	4
165083	1110
3320	8
11492	22
42647	133
349220	447
34004	223
23755	169
41320	147
10893	32
48450	263
1563	21
6948	25
76667	301
26242	137
256954	2423
313201	1294
396643	4101
590	10
5653	53
4988	21
90176	664
58690	486
5094	35
8579	37
26616	81
25606	80
281844	2945
263710	952
53735	461
71599	149
37522	248
21657	50
67036	492
557641	3544
165895	1107
231325	1313
8212	52
3894	15
144996	758
12956	26
12826	97
531580	1886
64860	438
270634	3183
482	2
20041	246
503	1
15727	75
84250	601
35928	112
3784	35
10659	28
30546	372
56	0
51816	165
31777	186
3456	39
23052	232
29042	196
204169	1750
40096	145
40677	511
34019	74
77375	208
51168	206
19481	107
103063	467
11659	53
260368	4296
307807	1205
2551	151
39077	422
43698	208
388630	1172
232453	3940
17197	305
80724	515
10100	19
6333	12
2861	8
67109	420
26661	39
1167	3
2015	2
1430	0
105140	449
31613	72
1013	1
4631	22
30931	484
28985	139
250206	1291
20824	49
113758	652
5566	109
30382	167
119959	953
38403	354
16686	95
26872	140
170813	901
179049	939
1102	4
22157	219
3395	16
2479	4
3304	5
2425	6
6735	23
97	0
12678	76
8997	15
321	0
11617	44
5433	8
345938	2092
57578	692
9137	26
56031	127
23753	68
56263	77
55599	143
237109	1266
144597	523
92945	347
115215	661
13829	54
18837	85
9262	154
5013	47
11401	7
1399	6
106865	657
15824	78
31423	215
1238	4
199	0
179	0
1328	8
2815	36
2335	19
3470	4
2306	6
1264	33
2249	26
1555	3
1468	3
1069	0
2078	28
613	0
373	0
3048	11
3445	16
682	1
1165	3
14354	89
1268	4
4209	13
2256	0
2614	22
1107	1
39586	530
4451	36
479	7
1152	15
1071	4
992	2
4913	21
623	2
198131	513
100733	104
9792	44
65609	395
129435	760
86427	837
206303	1554
313443	3325
94328	646
48479	233
6662	9
8200	13
72570	879
72038	193
269580	1475
57923	1348
301002	2270
98176	541
3837	7
63615	624
20322	317
41502	104
17611	78
252867	967
17485	148
50678	240
77084	899
114559	990
62087	175
65824	240
57670	340
403167	3186
10377	37
244442	4656
59784	205
76394	519
49935	347
220474	2924
34135	561
15688	122
144385	1196
370727	1754
30015	177
24211	147
